portfolioRefCode;currencyCode;accountNo;cashAccountName;refCode;iban
nt1172;TL;744248;N1172;N-1673;TR00000000005568402
nt1173;TL;744249;N1173;N-1674;TR00000000005568403
nt1174;TL;744250;N1174;N-1675;TR00000000005568404
nt1175;TL;744251;N1175;N-1676;TR00000000005568405
nt1176;TL;744252;N1176;N-1677;TR00000000005568406
nt1177;TL;744253;N1177;N-1678;TR00000000005568407
nt1178;TL;744254;N1178;N-1679;TR00000000005568408
nt1179;TL;744255;N1179;N-1680;TR00000000005568409
nt1180;TL;744256;N1180;N-1681;TR00000000005568410
nt1181;TL;744257;N1181;N-1682;TR00000000005568411
nt1182;TL;744258;N1182;N-1683;TR00000000005568412
nt1183;TL;744259;N1183;N-1684;TR00000000005568413
nt1184;TL;744260;N1184;N-1685;TR00000000005568414
nt1185;TL;744261;N1185;N-1686;TR00000000005568415
nt1186;TL;744262;N1186;N-1687;TR00000000005568416
nt1187;TL;744263;N1187;N-1688;TR00000000005568417
nt1188;TL;744264;N1188;N-1689;TR00000000005568418
nt1189;TL;744265;N1189;N-1690;TR00000000005568419
nt1190;TL;744266;N1190;N-1691;TR00000000005568420
nt1191;TL;744267;N1191;N-1692;TR00000000005568421
nt1192;TL;744268;N1192;N-1693;TR00000000005568422
nt1193;TL;744269;N1193;N-1694;TR00000000005568423
nt1194;TL;744270;N1194;N-1695;TR00000000005568424
nt1195;TL;744271;N1195;N-1696;TR00000000005568425
nt1196;TL;744272;N1196;N-1697;TR00000000005568426
nt1197;TL;744273;N1197;N-1698;TR00000000005568427
nt1198;TL;744274;N1198;N-1699;TR00000000005568428
nt1199;TL;744275;N1199;N-1700;TR00000000005568429
nt1200;TL;744276;N1200;N-1701;TR00000000005568430
nt1201;TL;744277;N1201;N-1702;TR00000000005568431
nt1202;TL;744278;N1202;N-1703;TR00000000005568432
nt1203;TL;744279;N1203;N-1704;TR00000000005568433
nt1204;TL;744280;N1204;N-1705;TR00000000005568434
nt1205;TL;744281;N1205;N-1706;TR00000000005568435
nt1206;TL;744282;N1206;N-1707;TR00000000005568436
nt1207;TL;744283;N1207;N-1708;TR00000000005568437
nt1208;TL;744284;N1208;N-1709;TR00000000005568438
nt1209;TL;744285;N1209;N-1710;TR00000000005568439
nt1210;TL;744286;N1210;N-1711;TR00000000005568440
nt1211;TL;744287;N1211;N-1712;TR00000000005568441
nt1212;TL;744288;N1212;N-1713;TR00000000005568442
nt1213;TL;744289;N1213;N-1714;TR00000000005568443
nt1214;TL;744290;N1214;N-1715;TR00000000005568444
nt1215;TL;744291;N1215;N-1716;TR00000000005568445
nt1216;TL;744292;N1216;N-1717;TR00000000005568446
nt1217;TL;744293;N1217;N-1718;TR00000000005568447
nt1218;TL;744294;N1218;N-1719;TR00000000005568448
nt1219;TL;744295;N1219;N-1720;TR00000000005568449
nt1220;TL;744296;N1220;N-1721;TR00000000005568450
nt1221;TL;744297;N1221;N-1722;TR00000000005568451
nt1222;TL;744298;N1222;N-1723;TR00000000005568452
nt1223;TL;744299;N1223;N-1724;TR00000000005568453
nt1224;TL;744300;N1224;N-1725;TR00000000005568454
nt1225;TL;744301;N1225;N-1726;TR00000000005568455
nt1226;TL;744302;N1226;N-1727;TR00000000005568456
nt1227;TL;744303;N1227;N-1728;TR00000000005568457
nt1228;TL;744304;N1228;N-1729;TR00000000005568458
nt1229;TL;744305;N1229;N-1730;TR00000000005568459
nt1230;TL;744306;N1230;N-1731;TR00000000005568460
nt1231;TL;744307;N1231;N-1732;TR00000000005568461
nt1232;TL;744308;N1232;N-1733;TR00000000005568462
nt1233;TL;744309;N1233;N-1734;TR00000000005568463
nt1234;TL;744310;N1234;N-1735;TR00000000005568464
nt1235;TL;744311;N1235;N-1736;TR00000000005568465
nt1236;TL;744312;N1236;N-1737;TR00000000005568466
nt1237;TL;744313;N1237;N-1738;TR00000000005568467
nt1238;TL;744314;N1238;N-1739;TR00000000005568468
nt1239;TL;744315;N1239;N-1740;TR00000000005568469
nt1240;TL;744316;N1240;N-1741;TR00000000005568470
nt1241;TL;744317;N1241;N-1742;TR00000000005568471
nt1242;TL;744318;N1242;N-1743;TR00000000005568472
nt1243;TL;744319;N1243;N-1744;TR00000000005568473
nt1244;TL;744320;N1244;N-1745;TR00000000005568474
nt1245;TL;744321;N1245;N-1746;TR00000000005568475
nt1246;TL;744322;N1246;N-1747;TR00000000005568476
nt1247;TL;744323;N1247;N-1748;TR00000000005568477
nt1248;TL;744324;N1248;N-1749;TR00000000005568478
nt1249;TL;744325;N1249;N-1750;TR00000000005568479
nt1250;TL;744326;N1250;N-1751;TR00000000005568480
nt1251;TL;744327;N1251;N-1752;TR00000000005568481
nt1252;TL;744328;N1252;N-1753;TR00000000005568482
nt1253;TL;744329;N1253;N-1754;TR00000000005568483
nt1254;TL;744330;N1254;N-1755;TR00000000005568484
nt1255;TL;744331;N1255;N-1756;TR00000000005568485
nt1256;TL;744332;N1256;N-1757;TR00000000005568486
nt1257;TL;744333;N1257;N-1758;TR00000000005568487
nt1258;TL;744334;N1258;N-1759;TR00000000005568488
nt1259;TL;744335;N1259;N-1760;TR00000000005568489
nt1260;TL;744336;N1260;N-1761;TR00000000005568490
nt1261;TL;744337;N1261;N-1762;TR00000000005568491
nt1262;TL;744338;N1262;N-1763;TR00000000005568492
nt1263;TL;744339;N1263;N-1764;TR00000000005568493
nt1264;TL;744340;N1264;N-1765;TR00000000005568494
nt1265;TL;744341;N1265;N-1766;TR00000000005568495
nt1266;TL;744342;N1266;N-1767;TR00000000005568496
nt1267;TL;744343;N1267;N-1768;TR00000000005568497
nt1268;TL;744344;N1268;N-1769;TR00000000005568498
nt1269;TL;744345;N1269;N-1770;TR00000000005568499
nt1270;TL;744346;N1270;N-1771;TR00000000005568500
nt1271;TL;744347;N1271;N-1772;TR00000000005568501
nt1272;TL;744348;N1272;N-1773;TR00000000005568502
nt1273;TL;744349;N1273;N-1774;TR00000000005568503
nt1274;TL;744350;N1274;N-1775;TR00000000005568504
nt1275;TL;744351;N1275;N-1776;TR00000000005568505
nt1276;TL;744352;N1276;N-1777;TR00000000005568506
nt1277;TL;744353;N1277;N-1778;TR00000000005568507
nt1278;TL;744354;N1278;N-1779;TR00000000005568508
nt1279;TL;744355;N1279;N-1780;TR00000000005568509
nt1280;TL;744356;N1280;N-1781;TR00000000005568510
nt1281;TL;744357;N1281;N-1782;TR00000000005568511
nt1282;TL;744358;N1282;N-1783;TR00000000005568512
nt1283;TL;744359;N1283;N-1784;TR00000000005568513
nt1284;TL;744360;N1284;N-1785;TR00000000005568514
nt1285;TL;744361;N1285;N-1786;TR00000000005568515
nt1286;TL;744362;N1286;N-1787;TR00000000005568516
nt1287;TL;744363;N1287;N-1788;TR00000000005568517
nt1288;TL;744364;N1288;N-1789;TR00000000005568518
nt1289;TL;744365;N1289;N-1790;TR00000000005568519
nt1290;TL;744366;N1290;N-1791;TR00000000005568520
nt1291;TL;744367;N1291;N-1792;TR00000000005568521
nt1292;TL;744368;N1292;N-1793;TR00000000005568522
nt1293;TL;744369;N1293;N-1794;TR00000000005568523
nt1294;TL;744370;N1294;N-1795;TR00000000005568524
nt1295;TL;744371;N1295;N-1796;TR00000000005568525
nt1296;TL;744372;N1296;N-1797;TR00000000005568526
nt1297;TL;744373;N1297;N-1798;TR00000000005568527
nt1298;TL;744374;N1298;N-1799;TR00000000005568528
nt1299;TL;744375;N1299;N-1800;TR00000000005568529
nt1300;TL;744376;N1300;N-1801;TR00000000005568530
nt1301;TL;744377;N1301;N-1802;TR00000000005568531
nt1302;TL;744378;N1302;N-1803;TR00000000005568532
nt1303;TL;744379;N1303;N-1804;TR00000000005568533
nt1304;TL;744380;N1304;N-1805;TR00000000005568534
nt1305;TL;744381;N1305;N-1806;TR00000000005568535
nt1306;TL;744382;N1306;N-1807;TR00000000005568536
nt1307;TL;744383;N1307;N-1808;TR00000000005568537
nt1308;TL;744384;N1308;N-1809;TR00000000005568538
nt1309;TL;744385;N1309;N-1810;TR00000000005568539
nt1310;TL;744386;N1310;N-1811;TR00000000005568540
nt1311;TL;744387;N1311;N-1812;TR00000000005568541
nt1312;TL;744388;N1312;N-1813;TR00000000005568542
nt1313;TL;744389;N1313;N-1814;TR00000000005568543
nt1314;TL;744390;N1314;N-1815;TR00000000005568544
nt1315;TL;744391;N1315;N-1816;TR00000000005568545
nt1316;TL;744392;N1316;N-1817;TR00000000005568546
nt1317;TL;744393;N1317;N-1818;TR00000000005568547
nt1318;TL;744394;N1318;N-1819;TR00000000005568548
nt1319;TL;744395;N1319;N-1820;TR00000000005568549
nt1320;TL;744396;N1320;N-1821;TR00000000005568550
nt1321;TL;744397;N1321;N-1822;TR00000000005568551
nt1322;TL;744398;N1322;N-1823;TR00000000005568552
nt1323;TL;744399;N1323;N-1824;TR00000000005568553
nt1324;TL;744400;N1324;N-1825;TR00000000005568554
nt1325;TL;744401;N1325;N-1826;TR00000000005568555
nt1326;TL;744402;N1326;N-1827;TR00000000005568556
nt1327;TL;744403;N1327;N-1828;TR00000000005568557
nt1328;TL;744404;N1328;N-1829;TR00000000005568558
nt1329;TL;744405;N1329;N-1830;TR00000000005568559
nt1330;TL;744406;N1330;N-1831;TR00000000005568560
nt1331;TL;744407;N1331;N-1832;TR00000000005568561
nt1332;TL;744408;N1332;N-1833;TR00000000005568562
nt1333;TL;744409;N1333;N-1834;TR00000000005568563
nt1334;TL;744410;N1334;N-1835;TR00000000005568564
nt1335;TL;744411;N1335;N-1836;TR00000000005568565
nt1336;TL;744412;N1336;N-1837;TR00000000005568566
nt1337;TL;744413;N1337;N-1838;TR00000000005568567
nt1338;TL;744414;N1338;N-1839;TR00000000005568568
nt1339;TL;744415;N1339;N-1840;TR00000000005568569
nt1340;TL;744416;N1340;N-1841;TR00000000005568570
nt1341;TL;744417;N1341;N-1842;TR00000000005568571
nt1342;TL;744418;N1342;N-1843;TR00000000005568572
nt1343;TL;744419;N1343;N-1844;TR00000000005568573
nt1344;TL;744420;N1344;N-1845;TR00000000005568574
nt1345;TL;744421;N1345;N-1846;TR00000000005568575
nt1346;TL;744422;N1346;N-1847;TR00000000005568576
nt1347;TL;744423;N1347;N-1848;TR00000000005568577
nt1348;TL;744424;N1348;N-1849;TR00000000005568578
nt1349;TL;744425;N1349;N-1850;TR00000000005568579
nt1350;TL;744426;N1350;N-1851;TR00000000005568580
nt1351;TL;744427;N1351;N-1852;TR00000000005568581
nt1352;TL;744428;N1352;N-1853;TR00000000005568582
nt1353;TL;744429;N1353;N-1854;TR00000000005568583
nt1354;TL;744430;N1354;N-1855;TR00000000005568584
nt1355;TL;744431;N1355;N-1856;TR00000000005568585
nt1356;TL;744432;N1356;N-1857;TR00000000005568586
nt1357;TL;744433;N1357;N-1858;TR00000000005568587
nt1358;TL;744434;N1358;N-1859;TR00000000005568588
nt1359;TL;744435;N1359;N-1860;TR00000000005568589
nt1360;TL;744436;N1360;N-1861;TR00000000005568590
nt1361;TL;744437;N1361;N-1862;TR00000000005568591
nt1362;TL;744438;N1362;N-1863;TR00000000005568592
nt1363;TL;744439;N1363;N-1864;TR00000000005568593
nt1364;TL;744440;N1364;N-1865;TR00000000005568594
nt1365;TL;744441;N1365;N-1866;TR00000000005568595
nt1366;TL;744442;N1366;N-1867;TR00000000005568596
nt1367;TL;744443;N1367;N-1868;TR00000000005568597
nt1368;TL;744444;N1368;N-1869;TR00000000005568598
nt1369;TL;744445;N1369;N-1870;TR00000000005568599
nt1370;TL;744446;N1370;N-1871;TR00000000005568600
nt1371;TL;744447;N1371;N-1872;TR00000000005568601
nt1372;TL;744448;N1372;N-1873;TR00000000005568602
nt1373;TL;744449;N1373;N-1874;TR00000000005568603
nt1374;TL;744450;N1374;N-1875;TR00000000005568604
nt1375;TL;744451;N1375;N-1876;TR00000000005568605
nt1376;TL;744452;N1376;N-1877;TR00000000005568606
nt1377;TL;744453;N1377;N-1878;TR00000000005568607
nt1378;TL;744454;N1378;N-1879;TR00000000005568608
nt1379;TL;744455;N1379;N-1880;TR00000000005568609
nt1380;TL;744456;N1380;N-1881;TR00000000005568610
nt1381;TL;744457;N1381;N-1882;TR00000000005568611
nt1382;TL;744458;N1382;N-1883;TR00000000005568612
nt1383;TL;744459;N1383;N-1884;TR00000000005568613
nt1384;TL;744460;N1384;N-1885;TR00000000005568614
nt1385;TL;744461;N1385;N-1886;TR00000000005568615
nt1386;TL;744462;N1386;N-1887;TR00000000005568616
nt1387;TL;744463;N1387;N-1888;TR00000000005568617
nt1388;TL;744464;N1388;N-1889;TR00000000005568618
nt1389;TL;744465;N1389;N-1890;TR00000000005568619
nt1390;TL;744466;N1390;N-1891;TR00000000005568620
nt1391;TL;744467;N1391;N-1892;TR00000000005568621
nt1392;TL;744468;N1392;N-1893;TR00000000005568622
nt1393;TL;744469;N1393;N-1894;TR00000000005568623
nt1394;TL;744470;N1394;N-1895;TR00000000005568624
nt1395;TL;744471;N1395;N-1896;TR00000000005568625
nt1396;TL;744472;N1396;N-1897;TR00000000005568626
nt1397;TL;744473;N1397;N-1898;TR00000000005568627
nt1398;TL;744474;N1398;N-1899;TR00000000005568628
nt1399;TL;744475;N1399;N-1900;TR00000000005568629
nt1400;TL;744476;N1400;N-1901;TR00000000005568630
nt1401;TL;744477;N1401;N-1902;TR00000000005568631
nt1402;TL;744478;N1402;N-1903;TR00000000005568632
nt1403;TL;744479;N1403;N-1904;TR00000000005568633
nt1404;TL;744480;N1404;N-1905;TR00000000005568634
nt1405;TL;744481;N1405;N-1906;TR00000000005568635
nt1406;TL;744482;N1406;N-1907;TR00000000005568636
nt1407;TL;744483;N1407;N-1908;TR00000000005568637
nt1408;TL;744484;N1408;N-1909;TR00000000005568638
nt1409;TL;744485;N1409;N-1910;TR00000000005568639
nt1410;TL;744486;N1410;N-1911;TR00000000005568640
nt1411;TL;744487;N1411;N-1912;TR00000000005568641
nt1412;TL;744488;N1412;N-1913;TR00000000005568642
nt1413;TL;744489;N1413;N-1914;TR00000000005568643
nt1414;TL;744490;N1414;N-1915;TR00000000005568644
nt1415;TL;744491;N1415;N-1916;TR00000000005568645
nt1416;TL;744492;N1416;N-1917;TR00000000005568646
nt1417;TL;744493;N1417;N-1918;TR00000000005568647
nt1418;TL;744494;N1418;N-1919;TR00000000005568648
nt1419;TL;744495;N1419;N-1920;TR00000000005568649
nt1420;TL;744496;N1420;N-1921;TR00000000005568650
nt1421;TL;744497;N1421;N-1922;TR00000000005568651
nt1422;TL;744498;N1422;N-1923;TR00000000005568652
nt1423;TL;744499;N1423;N-1924;TR00000000005568653
nt1424;TL;744500;N1424;N-1925;TR00000000005568654
nt1425;TL;744501;N1425;N-1926;TR00000000005568655
nt1426;TL;744502;N1426;N-1927;TR00000000005568656
nt1427;TL;744503;N1427;N-1928;TR00000000005568657
nt1428;TL;744504;N1428;N-1929;TR00000000005568658
nt1429;TL;744505;N1429;N-1930;TR00000000005568659
nt1430;TL;744506;N1430;N-1931;TR00000000005568660
nt1431;TL;744507;N1431;N-1932;TR00000000005568661
nt1432;TL;744508;N1432;N-1933;TR00000000005568662
nt1433;TL;744509;N1433;N-1934;TR00000000005568663
nt1434;TL;744510;N1434;N-1935;TR00000000005568664
nt1435;TL;744511;N1435;N-1936;TR00000000005568665
nt1436;TL;744512;N1436;N-1937;TR00000000005568666
nt1437;TL;744513;N1437;N-1938;TR00000000005568667
nt1438;TL;744514;N1438;N-1939;TR00000000005568668
nt1439;TL;744515;N1439;N-1940;TR00000000005568669
nt1440;TL;744516;N1440;N-1941;TR00000000005568670
nt1441;TL;744517;N1441;N-1942;TR00000000005568671
nt1442;TL;744518;N1442;N-1943;TR00000000005568672
nt1443;TL;744519;N1443;N-1944;TR00000000005568673
nt1444;TL;744520;N1444;N-1945;TR00000000005568674
nt1445;TL;744521;N1445;N-1946;TR00000000005568675
nt1446;TL;744522;N1446;N-1947;TR00000000005568676
nt1447;TL;744523;N1447;N-1948;TR00000000005568677
nt1448;TL;744524;N1448;N-1949;TR00000000005568678
nt1449;TL;744525;N1449;N-1950;TR00000000005568679
nt1450;TL;744526;N1450;N-1951;TR00000000005568680
nt1451;TL;744527;N1451;N-1952;TR00000000005568681
nt1452;TL;744528;N1452;N-1953;TR00000000005568682
nt1453;TL;744529;N1453;N-1954;TR00000000005568683
nt1454;TL;744530;N1454;N-1955;TR00000000005568684
nt1455;TL;744531;N1455;N-1956;TR00000000005568685
nt1456;TL;744532;N1456;N-1957;TR00000000005568686
nt1457;TL;744533;N1457;N-1958;TR00000000005568687
nt1458;TL;744534;N1458;N-1959;TR00000000005568688
nt1459;TL;744535;N1459;N-1960;TR00000000005568689
nt1460;TL;744536;N1460;N-1961;TR00000000005568690
nt1461;TL;744537;N1461;N-1962;TR00000000005568691
nt1462;TL;744538;N1462;N-1963;TR00000000005568692
nt1463;TL;744539;N1463;N-1964;TR00000000005568693
nt1464;TL;744540;N1464;N-1965;TR00000000005568694
nt1465;TL;744541;N1465;N-1966;TR00000000005568695
nt1466;TL;744542;N1466;N-1967;TR00000000005568696
nt1467;TL;744543;N1467;N-1968;TR00000000005568697
nt1468;TL;744544;N1468;N-1969;TR00000000005568698
nt1469;TL;744545;N1469;N-1970;TR00000000005568699
nt1470;TL;744546;N1470;N-1971;TR00000000005568700
nt1471;TL;744547;N1471;N-1972;TR00000000005568701
nt1472;TL;744548;N1472;N-1973;TR00000000005568702
nt1473;TL;744549;N1473;N-1974;TR00000000005568703
nt1474;TL;744550;N1474;N-1975;TR00000000005568704
nt1475;TL;744551;N1475;N-1976;TR00000000005568705
nt1476;TL;744552;N1476;N-1977;TR00000000005568706
nt1477;TL;744553;N1477;N-1978;TR00000000005568707
nt1478;TL;744554;N1478;N-1979;TR00000000005568708
nt1479;TL;744555;N1479;N-1980;TR00000000005568709
nt1480;TL;744556;N1480;N-1981;TR00000000005568710
nt1481;TL;744557;N1481;N-1982;TR00000000005568711
nt1482;TL;744558;N1482;N-1983;TR00000000005568712
nt1483;TL;744559;N1483;N-1984;TR00000000005568713
nt1484;TL;744560;N1484;N-1985;TR00000000005568714
nt1485;TL;744561;N1485;N-1986;TR00000000005568715
nt1486;TL;744562;N1486;N-1987;TR00000000005568716
nt1487;TL;744563;N1487;N-1988;TR00000000005568717
nt1488;TL;744564;N1488;N-1989;TR00000000005568718
nt1489;TL;744565;N1489;N-1990;TR00000000005568719
nt1490;TL;744566;N1490;N-1991;TR00000000005568720
nt1491;TL;744567;N1491;N-1992;TR00000000005568721
nt1492;TL;744568;N1492;N-1993;TR00000000005568722
nt1493;TL;744569;N1493;N-1994;TR00000000005568723
nt1494;TL;744570;N1494;N-1995;TR00000000005568724
nt1495;TL;744571;N1495;N-1996;TR00000000005568725
nt1496;TL;744572;N1496;N-1997;TR00000000005568726
nt1497;TL;744573;N1497;N-1998;TR00000000005568727
nt1498;TL;744574;N1498;N-1999;TR00000000005568728
nt1499;TL;744575;N1499;N-2000;TR00000000005568729
nt1500;TL;744576;N1500;N-2001;TR00000000005568730
nt1501;TL;744577;N1501;N-2002;TR00000000005568731
nt1502;TL;744578;N1502;N-2003;TR00000000005568732
nt1503;TL;744579;N1503;N-2004;TR00000000005568733
nt1504;TL;744580;N1504;N-2005;TR00000000005568734
nt1505;TL;744581;N1505;N-2006;TR00000000005568735
nt1506;TL;744582;N1506;N-2007;TR00000000005568736
nt1507;TL;744583;N1507;N-2008;TR00000000005568737
nt1508;TL;744584;N1508;N-2009;TR00000000005568738
nt1509;TL;744585;N1509;N-2010;TR00000000005568739
nt1510;TL;744586;N1510;N-2011;TR00000000005568740
nt1511;TL;744587;N1511;N-2012;TR00000000005568741
nt1512;TL;744588;N1512;N-2013;TR00000000005568742
nt1513;TL;744589;N1513;N-2014;TR00000000005568743
nt1514;TL;744590;N1514;N-2015;TR00000000005568744
nt1515;TL;744591;N1515;N-2016;TR00000000005568745
nt1516;TL;744592;N1516;N-2017;TR00000000005568746
nt1517;TL;744593;N1517;N-2018;TR00000000005568747
nt1518;TL;744594;N1518;N-2019;TR00000000005568748
nt1519;TL;744595;N1519;N-2020;TR00000000005568749
nt1520;TL;744596;N1520;N-2021;TR00000000005568750
nt1521;TL;744597;N1521;N-2022;TR00000000005568751
nt1522;TL;744598;N1522;N-2023;TR00000000005568752
nt1523;TL;744599;N1523;N-2024;TR00000000005568753
nt1524;TL;744600;N1524;N-2025;TR00000000005568754
nt1525;TL;744601;N1525;N-2026;TR00000000005568755
nt1526;TL;744602;N1526;N-2027;TR00000000005568756
nt1527;TL;744603;N1527;N-2028;TR00000000005568757
nt1528;TL;744604;N1528;N-2029;TR00000000005568758
nt1529;TL;744605;N1529;N-2030;TR00000000005568759
nt1530;TL;744606;N1530;N-2031;TR00000000005568760
nt1531;TL;744607;N1531;N-2032;TR00000000005568761
nt1532;TL;744608;N1532;N-2033;TR00000000005568762
nt1533;TL;744609;N1533;N-2034;TR00000000005568763
nt1534;TL;744610;N1534;N-2035;TR00000000005568764
nt1535;TL;744611;N1535;N-2036;TR00000000005568765
nt1536;TL;744612;N1536;N-2037;TR00000000005568766
nt1537;TL;744613;N1537;N-2038;TR00000000005568767
nt1538;TL;744614;N1538;N-2039;TR00000000005568768
nt1539;TL;744615;N1539;N-2040;TR00000000005568769
nt1540;TL;744616;N1540;N-2041;TR00000000005568770
nt1541;TL;744617;N1541;N-2042;TR00000000005568771
nt1542;TL;744618;N1542;N-2043;TR00000000005568772
nt1543;TL;744619;N1543;N-2044;TR00000000005568773
nt1544;TL;744620;N1544;N-2045;TR00000000005568774
nt1545;TL;744621;N1545;N-2046;TR00000000005568775
nt1546;TL;744622;N1546;N-2047;TR00000000005568776
nt1547;TL;744623;N1547;N-2048;TR00000000005568777
nt1548;TL;744624;N1548;N-2049;TR00000000005568778
nt1549;TL;744625;N1549;N-2050;TR00000000005568779
nt1550;TL;744626;N1550;N-2051;TR00000000005568780
nt1551;TL;744627;N1551;N-2052;TR00000000005568781
nt1552;TL;744628;N1552;N-2053;TR00000000005568782
nt1553;TL;744629;N1553;N-2054;TR00000000005568783
nt1554;TL;744630;N1554;N-2055;TR00000000005568784
nt1555;TL;744631;N1555;N-2056;TR00000000005568785
nt1556;TL;744632;N1556;N-2057;TR00000000005568786
nt1557;TL;744633;N1557;N-2058;TR00000000005568787
nt1558;TL;744634;N1558;N-2059;TR00000000005568788
nt1559;TL;744635;N1559;N-2060;TR00000000005568789
nt1560;TL;744636;N1560;N-2061;TR00000000005568790
nt1561;TL;744637;N1561;N-2062;TR00000000005568791
nt1562;TL;744638;N1562;N-2063;TR00000000005568792
nt1563;TL;744639;N1563;N-2064;TR00000000005568793
nt1564;TL;744640;N1564;N-2065;TR00000000005568794
nt1565;TL;744641;N1565;N-2066;TR00000000005568795
nt1566;TL;744642;N1566;N-2067;TR00000000005568796
nt1567;TL;744643;N1567;N-2068;TR00000000005568797
nt1568;TL;744644;N1568;N-2069;TR00000000005568798
nt1569;TL;744645;N1569;N-2070;TR00000000005568799
nt1570;TL;744646;N1570;N-2071;TR00000000005568800
nt1571;TL;744647;N1571;N-2072;TR00000000005568801
nt1572;TL;744648;N1572;N-2073;TR00000000005568802
nt1573;TL;744649;N1573;N-2074;TR00000000005568803
nt1574;TL;744650;N1574;N-2075;TR00000000005568804
nt1575;TL;744651;N1575;N-2076;TR00000000005568805
nt1576;TL;744652;N1576;N-2077;TR00000000005568806
nt1577;TL;744653;N1577;N-2078;TR00000000005568807
nt1578;TL;744654;N1578;N-2079;TR00000000005568808
nt1579;TL;744655;N1579;N-2080;TR00000000005568809
nt1580;TL;744656;N1580;N-2081;TR00000000005568810
nt1581;TL;744657;N1581;N-2082;TR00000000005568811
nt1582;TL;744658;N1582;N-2083;TR00000000005568812
nt1583;TL;744659;N1583;N-2084;TR00000000005568813
nt1584;TL;744660;N1584;N-2085;TR00000000005568814
nt1585;TL;744661;N1585;N-2086;TR00000000005568815
nt1586;TL;744662;N1586;N-2087;TR00000000005568816
nt1587;TL;744663;N1587;N-2088;TR00000000005568817
nt1588;TL;744664;N1588;N-2089;TR00000000005568818
nt1589;TL;744665;N1589;N-2090;TR00000000005568819
nt1590;TL;744666;N1590;N-2091;TR00000000005568820
nt1591;TL;744667;N1591;N-2092;TR00000000005568821
nt1592;TL;744668;N1592;N-2093;TR00000000005568822
nt1593;TL;744669;N1593;N-2094;TR00000000005568823
nt1594;TL;744670;N1594;N-2095;TR00000000005568824
nt1595;TL;744671;N1595;N-2096;TR00000000005568825
nt1596;TL;744672;N1596;N-2097;TR00000000005568826
nt1597;TL;744673;N1597;N-2098;TR00000000005568827
nt1598;TL;744674;N1598;N-2099;TR00000000005568828
nt1599;TL;744675;N1599;N-2100;TR00000000005568829
nt1600;TL;744676;N1600;N-2101;TR00000000005568830
nt1601;TL;744677;N1601;N-2102;TR00000000005568831
nt1602;TL;744678;N1602;N-2103;TR00000000005568832
nt1603;TL;744679;N1603;N-2104;TR00000000005568833
nt1604;TL;744680;N1604;N-2105;TR00000000005568834
nt1605;TL;744681;N1605;N-2106;TR00000000005568835
nt1606;TL;744682;N1606;N-2107;TR00000000005568836
nt1607;TL;744683;N1607;N-2108;TR00000000005568837
nt1608;TL;744684;N1608;N-2109;TR00000000005568838
nt1609;TL;744685;N1609;N-2110;TR00000000005568839
nt1610;TL;744686;N1610;N-2111;TR00000000005568840
nt1611;TL;744687;N1611;N-2112;TR00000000005568841
nt1612;TL;744688;N1612;N-2113;TR00000000005568842
nt1613;TL;744689;N1613;N-2114;TR00000000005568843
nt1614;TL;744690;N1614;N-2115;TR00000000005568844
nt1615;TL;744691;N1615;N-2116;TR00000000005568845
nt1616;TL;744692;N1616;N-2117;TR00000000005568846
nt1617;TL;744693;N1617;N-2118;TR00000000005568847
nt1618;TL;744694;N1618;N-2119;TR00000000005568848
nt1619;TL;744695;N1619;N-2120;TR00000000005568849
nt1620;TL;744696;N1620;N-2121;TR00000000005568850
nt1621;TL;744697;N1621;N-2122;TR00000000005568851
nt1622;TL;744698;N1622;N-2123;TR00000000005568852
nt1623;TL;744699;N1623;N-2124;TR00000000005568853
nt1624;TL;744700;N1624;N-2125;TR00000000005568854
nt1625;TL;744701;N1625;N-2126;TR00000000005568855
nt1626;TL;744702;N1626;N-2127;TR00000000005568856
nt1627;TL;744703;N1627;N-2128;TR00000000005568857
nt1628;TL;744704;N1628;N-2129;TR00000000005568858
nt1629;TL;744705;N1629;N-2130;TR00000000005568859
nt1630;TL;744706;N1630;N-2131;TR00000000005568860
nt1631;TL;744707;N1631;N-2132;TR00000000005568861
nt1632;TL;744708;N1632;N-2133;TR00000000005568862
nt1633;TL;744709;N1633;N-2134;TR00000000005568863
nt1634;TL;744710;N1634;N-2135;TR00000000005568864
nt1635;TL;744711;N1635;N-2136;TR00000000005568865
nt1636;TL;744712;N1636;N-2137;TR00000000005568866
nt1637;TL;744713;N1637;N-2138;TR00000000005568867
nt1638;TL;744714;N1638;N-2139;TR00000000005568868
nt1639;TL;744715;N1639;N-2140;TR00000000005568869
nt1640;TL;744716;N1640;N-2141;TR00000000005568870
nt1641;TL;744717;N1641;N-2142;TR00000000005568871
nt1642;TL;744718;N1642;N-2143;TR00000000005568872
nt1643;TL;744719;N1643;N-2144;TR00000000005568873
nt1644;TL;744720;N1644;N-2145;TR00000000005568874
nt1645;TL;744721;N1645;N-2146;TR00000000005568875
nt1646;TL;744722;N1646;N-2147;TR00000000005568876
nt1647;TL;744723;N1647;N-2148;TR00000000005568877
nt1648;TL;744724;N1648;N-2149;TR00000000005568878
nt1649;TL;744725;N1649;N-2150;TR00000000005568879
nt1650;TL;744726;N1650;N-2151;TR00000000005568880
nt1651;TL;744727;N1651;N-2152;TR00000000005568881
nt1652;TL;744728;N1652;N-2153;TR00000000005568882
